index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,Unnamed: 22,issue
503,408-4378624-3886712,04-30-22,Cancelled,Amazon,Amazon.in,Standard,JNE3799,JNE3799-KR-S,kurta,S,B09SDZ78G7,Cancelled,0,,,GHAZIABAD,UTTAR PRADESH,201012.0,IN,,False,,,null_currency; null_amount; 
509,408-7342331-1733136,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE1525,JNE1525-KR-UDF19-A-XL,kurta,XL,B0743FF612,Cancelled,0,,,SHRIGONDA,MAHARASHTRA,413701.0,IN,,False,,,null_currency; null_amount; 
518,407-6910434-1793162,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,MEN5023,MEN5023-KR-S,kurta,S,B08YZ1GSGW,Cancelled,0,,,SAMBALPUR,ODISHA,768004.0,IN,,False,,,null_currency; null_amount; 
521,404-0553710-6997951,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,MEN5002,MEN5002-KR-XXL,kurta,XXL,B08YZ1HZ7B,Cancelled,0,,,Vadodara,Gujarat,390011.0,IN,,False,,,null_currency; null_amount; 
535,407-1181422-6183500,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET319,SET319-KR-NP-S,Set,S,B09KXV4TTM,Cancelled,0,,,MANGALURU,KARNATAKA,575002.0,IN,,False,,,null_currency; null_amount; 
540,404-3977029-4836363,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET233,SET233-KR-PP-L,Set,L,B08MXF6MZF,Cancelled,0,,,MUMBAI,MAHARASHTRA,400042.0,IN,,False,,,null_currency; null_amount; 
547,402-4976284-7401969,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET131,SET131-KR-NP-A-XXL,Set,XXL,B07WPVB9GJ,Cancelled,0,,,ROHTAK,HARYANA,124001.0,IN,,False,,,null_currency; null_amount; 
563,405-7730926-6032325,04-30-22,Cancelled,Merchant,Amazon.in,Standard,J0386,J0386-KR-XXXL,kurta,3XL,B09YYLFCP2,,0,,,SIKANDARABAD INDUSTRIAL AREA,UTTAR PRADESH,203205.0,IN,,False,Easy Ship,,null_currency; null_amount; 
572,403-3416641-9569165,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0003,J0003-SET-XXL,Set,XXL,B0894XKVH3,Cancelled,0,,,QADIAN,PUNJAB,143516.0,IN,,False,,,null_currency; null_amount; 
593,171-7822891-4076363,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0008,J0008-SKD-XL,Set,XL,B0894X711G,Cancelled,0,,,VASCO DA GAMA,GOA,403802.0,IN,,False,,,null_currency; null_amount; 
602,405-6917473-7822701,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET374,SET374-KR-NP-XXXL,Set,3XL,B09NDHQMKC,Cancelled,0,,,HYDERABAD,TELANGANA,500098.0,IN,,False,,,null_currency; null_amount; 
630,405-1437048-4974713,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET324,SET324-KR-NP-XS,Set,XS,B09NQ4DD29,Cancelled,0,,,BOKARO STEEL CITY,JHARKHAND,827012.0,IN,,False,,,null_currency; null_amount; 
631,402-9348518-5984354,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3611,JNE3611-KR-XXXL,kurta,3XL,B08XVRKF6V,Cancelled,0,,,JAIPUR,RAJASTHAN,303905.0,IN,,False,,,null_currency; null_amount; 
632,402-9348518-5984354,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3461,JNE3461-KR-XXL,kurta,XXL,B08B3XF5MH,Cancelled,0,,,JAIPUR,RAJASTHAN,303905.0,IN,,False,,,null_currency; null_amount; 
633,406-8892825-4377127,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET388,SET388-KR-NP-L,Set,L,B09QJLFDRK,Cancelled,0,,,GURUGRAM,HARYANA,122002.0,IN,,False,,,null_currency; null_amount; 
639,408-8068196-8707526,04-30-22,Cancelled,Amazon,Amazon.in,Standard,JNE3437,JNE3437-KR-XXL,kurta,XXL,B085HJXJ3M,Cancelled,0,,,THANE,MAHARASHTRA,401101.0,IN,,False,,,null_currency; null_amount; 
652,408-0987613-5525924,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0230,J0230-SKD-M,Set,M,B08XNJG8B1,Cancelled,0,,,DARBHANGA,BIHAR,846003.0,IN,,False,,,null_currency; null_amount; 
671,408-9630926-2785104,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET268,SET268-KR-NP-M,Set,M,B08XQ8R6GW,Cancelled,0,,,REDHAKHOL,ODISHA,768106.0,IN,,False,,,null_currency; null_amount; 
672,403-5342526-7867558,04-30-22,Cancelled,Merchant,Amazon.in,Standard,MEN5019,MEN5019-KR-XXXL,kurta,3XL,B08YYQXZHK,,0,,,FARIDABAD,HARYANA,121002.0,IN,,False,Easy Ship,,null_currency; null_amount; 
675,405-6041428-1576346,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET293,SET293-KR-NP-XXL,Set,XXL,B09K3QVXBS,Cancelled,0,,,GURUGRAM,HARYANA,122001.0,IN,,False,,,null_currency; null_amount; 
691,406-1694518-5618746,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3691,JNE3691-TU-L,Top,L,B0986VTQL7,Cancelled,0,,,BILASPUR,CHHATTISGARH,495001.0,IN,,False,,,null_currency; null_amount; 
708,402-5014156-9264316,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3373,JNE3373-KR-XXXL,kurta,3XL,B082W7MZVQ,Cancelled,0,,,HYDERABAD,TELANGANA,500049.0,IN,,False,,,null_currency; null_amount; 
711,402-5903377-6817119,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0094,J0094-KR-M,kurta,M,B089G1FCC7,Cancelled,0,,,Kinnigoli,KARNATAKA,574141.0,IN,,False,,,null_currency; null_amount; 
713,405-9099443-7445111,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET364,SET364-KR-NP-XXL,Set,XXL,B09QJ5BYM8,Cancelled,0,,,MIRZAPUR CUM VINDHYACHAL,UTTAR PRADESH,231001.0,IN,,False,,,null_currency; null_amount; 
737,171-6112262-4294731,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3634,JNE3634-KR-M,kurta,M,B097ZZR31W,Cancelled,0,,,CHENGAMANAD,KERALA,683102.0,IN,,False,,,null_currency; null_amount; 
748,171-3693730-4530754,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET324,SET324-KR-NP-M,Set,M,B09NQ4NM75,Cancelled,0,,,KOLKATA,WEST BENGAL,700034.0,IN,,False,,,null_currency; null_amount; 
770,408-3364449-3401947,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET121,SET121-KR-NP-XS,Set,XS,B085HRF83T,Cancelled,0,,,Mumbai,MAHARASHTRA,400030.0,IN,,False,,,null_currency; null_amount; 
818,408-1348466-1321955,04-30-22,Cancelled,Merchant,Amazon.in,Standard,JNE2032,JNE2032-KR-205-XXXL,kurta,3XL,B07H6L4CBM,,0,,,BENGALURU,KARNATAKA,560078.0,IN,,False,Easy Ship,,null_currency; null_amount; 
820,406-5421335-3440327,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0230,J0230-SKD-L,Set,L,B08XNDL1DL,Cancelled,0,,,AKBARPUR,UTTAR PRADESH,224122.0,IN,,False,,,null_currency; null_amount; 
834,407-0533151-5470709,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE2153,JNE2153-KR-278-A-XL,kurta,XL,B0794V95XT,Cancelled,0,,,BHUBANESWAR,ODISHA,751015.0,IN,,False,,,null_currency; null_amount; 
849,402-0164950-5496362,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET304,SET304-KR-DPT-XL,Set,XL,B09K3HVZ83,Cancelled,0,,,CHENNAI,TAMIL NADU,600043.0,IN,,False,,,null_currency; null_amount; 
856,406-5651070-7367520,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0343,J0343-DR-XXL,Western Dress,XXL,B09831TPR5,Cancelled,0,,,HYDERABAD,TELANGANA,500055.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,,null_currency; null_amount; 
857,405-1952513-5416327,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3614,JNE3614-KR-M,kurta,M,B09811QMHB,Cancelled,0,,,ZIRAKPUR,PUNJAB,140603.0,IN,,False,,,null_currency; null_amount; 
864,402-9024954-3597923,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3800,JNE3800-KR-M,Western Dress,M,B09SDXQ3X9,Cancelled,0,,,HYDERABAD,TELANGANA,500043.0,IN,,False,,,null_currency; null_amount; 
892,406-9906656-5128304,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0167,J0167-KR-S,kurta,S,B08QGPXDMY,Cancelled,0,,,KANPURKanpur,UTTAR PRADESH,208013.0,IN,,False,,,null_currency; null_amount; 
898,407-5470882-4765942,04-30-22,Cancelled,Merchant,Amazon.in,Standard,J0343,J0343-DR-XL,Western Dress,XL,B0982Z1994,,0,,,CHENNAI,TAMIL NADU,600088.0,IN,,False,Easy Ship,,null_currency; null_amount; 
929,408-3531277-4885962,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3660,JNE3660-TP-N-S,Top,S,B08ZHFVV6F,Cancelled,0,,,NEYYATTINKARA,KERALA,695122.0,IN,,False,,,null_currency; null_amount; 
931,408-0391714-9281921,04-30-22,Cancelled,Merchant,Amazon.in,Standard,J0341,J0341-DR-XL,Western Dress,XL,B099NQJZPQ,,0,,,NASHIK,MAHARASHTRA,422101.0,IN,,False,Easy Ship,,null_currency; null_amount; 
937,S02-5278980-4327051,04-30-22,Shipped,Amazon,Non-Amazon,Standard,BL017,BL017-63BLACK,Blouse,Free,B077Z7WDXN,Unshipped,15,,,Surat,Gujarat,394210.0,IN,,False,,,null_currency; null_amount; 
956,171-7678731-3568339,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET331,SET331-KR-NP-L,Set,L,B09NQ4XYV9,Cancelled,0,,,BENGALURU,KARNATAKA,560100.0,IN,,False,,,null_currency; null_amount; 
960,404-3252605-4011545,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3510,JNE3510-KR-XL,kurta,XL,B08WPZ1N4Z,Cancelled,0,,,VASAI VIRAR,MAHARASHTRA,401208.0,IN,,False,,,null_currency; null_amount; 
966,403-7879236-4794741,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3373,JNE3373-KR-M,kurta,M,B082W8F8P3,Cancelled,0,,,GUWAHATI,ASSAM,781011.0,IN,,False,,,null_currency; null_amount; 
968,408-5598612-8613920,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0334,J0334-TP-S,Top,S,B0986Y2KBV,Cancelled,0,,,LUDHIANA,PUNJAB,141008.0,IN,,False,,,null_currency; null_amount; 
969,404-3475672-0623516,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET388,SET388-KR-NP-XXXL,Set,3XL,B09QJMF9YB,Cancelled,0,,,Haldwani,UTTARAKHAND,263139.0,IN,,False,,,null_currency; null_amount; 
1009,408-8026223-3504338,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET345,SET345-KR-NP-XXL,Set,XXL,B09KXSQ73F,Cancelled,0,,,GANJAM,ODISHA,761209.0,IN,,False,,,null_currency; null_amount; 
1010,405-7258660-0843511,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0341,J0341-DR-L,Western Dress,L,B099NRCT7B,Cancelled,0,,,DEHRADUN,UTTARAKHAND,248001.0,IN,,False,,,null_currency; null_amount; 
1012,406-8172747-6386706,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,MEN5029,MEN5029-KR-XL,kurta,XL,B08YZ2JMRN,Cancelled,0,,,Pune,MAHARASHTRA,411001.0,IN,,False,,,null_currency; null_amount; 
1015,403-9175128-5028341,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET345,SET345-KR-NP-XS,Set,XS,B09KXSVTDB,Cancelled,0,,,PUTTAPARTHI,ANDHRA PRADESH,515134.0,IN,,False,,,null_currency; null_amount; 
1025,408-5107980-7490767,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3334,JNE3334-KR-XXL,kurta,XXL,B07SBYCJ74,Cancelled,0,,,CHENNAI,TAMIL NADU,600012.0,IN,,False,,,null_currency; null_amount; 
1026,408-5107980-7490767,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE2014,JNE2014-KR-178-XXL,kurta,XXL,B077MF72BK,Cancelled,0,,,CHENNAI,TAMIL NADU,600012.0,IN,,False,,,null_currency; null_amount; 
1034,407-6980443-5231567,04-30-22,Cancelled,Merchant,Amazon.in,Standard,J0343,J0343-DR-XL,Western Dress,XL,B0982Z1994,,0,,,CHENNAI,TAMIL NADU,600088.0,IN,,False,Easy Ship,,null_currency; null_amount; 
1050,407-6378370-0617931,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0003,J0003-SET-XXXL,Set,3XL,B0894Y3VBB,Cancelled,0,,,Naigoan,MAHARASHTRA,401208.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,,null_currency; null_amount; 
1057,S02-9107114-0460608,04-30-22,Shipped,Amazon,Non-Amazon,Standard,SET315,SET315-KR-PP-XL,Set,XL,B09RKDN6S4,Unshipped,2,,,Surat,Gujarat,394210.0,IN,,False,,,null_currency; null_amount; 
1106,171-2411011-0125905,04-30-22,Cancelled,Merchant,Amazon.in,Standard,J0098,J0098-TP-XXL,Top,XXL,B092D3D5BL,,0,,,THANE (W),MAHARASHTRA,400601.0,IN,,False,Easy Ship,,null_currency; null_amount; 
1112,407-9665025-0698751,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0308,J0308-DR-M,Western Dress,M,B099NV5WD8,Cancelled,0,,,BHIWADI,RAJASTHAN,301019.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,,null_currency; null_amount; 
1117,405-2936022-2354729,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET378,SET378-KR-NP-XS,Set,XS,B09RKFQBBZ,Cancelled,0,,,MUMBAI,MAHARASHTRA,400017.0,IN,,False,,,null_currency; null_amount; 
1120,408-9204821-0825919,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3440,JNE3440-KR-N-XS,kurta,XS,B09HMY3YLT,Cancelled,0,,,AHMEDABAD,Gujarat,380022.0,IN,,True,,,null_currency; null_amount; 
1158,408-5956738-7480347,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0230,J0230-SKD-S,Set,S,B08XNJ19QH,Cancelled,0,,,KARIMPUR,WEST BENGAL,741152.0,IN,,False,,,null_currency; null_amount; 
1161,408-2838196-8468356,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3371,JNE3371-KR-S,kurta,S,B07WS16S49,Cancelled,0,,,Koothparamba,KERALA,670612.0,IN,,False,,,null_currency; null_amount; 
1175,171-4937589-2990741,04-30-22,Cancelled,Merchant,Amazon.in,Standard,J0098,J0098-TP-XXL,Top,XXL,B092D3D5BL,,0,,,THANE (W),MAHARASHTRA,400601.0,IN,,False,Easy Ship,,null_currency; null_amount; 
1181,171-0448076-6177169,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET288,SET288-KR-NP-XXXL,Set,3XL,B09M6STTBC,Cancelled,0,,,GWALIOR,MADHYA PRADESH,474001.0,IN,,False,,,null_currency; null_amount; 
1189,407-4792111-0135512,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET098,SET098-KR-PP-S,Set,S,B07X3KSDT3,Cancelled,0,,,PAKAUR,JHARKHAND,816107.0,IN,,False,,,null_currency; null_amount; 
1207,171-9911915-2972305,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3618,JNE3618-KR-XXL,kurta,XXL,B091Q9J9QL,Cancelled,0,,,ATTUR,TAMIL NADU,636121.0,IN,,False,,,null_currency; null_amount; 
1216,404-8195158-0485119,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET304,SET304-KR-DPT-L,Set,L,B09K3S3FFN,Cancelled,0,,,HYDERABAD,TELANGANA,500050.0,IN,,False,,,null_currency; null_amount; 
1223,407-9889269-9425948,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3697,JNE3697-KR-L,kurta,L,B09811Y7WM,Cancelled,0,,,SATHUPALLY,TELANGANA,507303.0,IN,,False,,,null_currency; null_amount; 
1234,406-8755475-2541930,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET374,SET374-KR-NP-M,Set,M,B09NDKJKPN,Cancelled,0,,,HYDERABAD,TELANGANA,500083.0,IN,,False,,,null_currency; null_amount; 
1239,408-5278589-7250768,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3371,JNE3371-KR-S,kurta,S,B07WS16S49,Cancelled,0,,,Koothparamba,KERALA,670612.0,IN,,False,,,null_currency; null_amount; 
1247,407-7237302-6113116,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0334,J0334-TP-S,Top,S,B0986Y2KBV,Cancelled,0,,,CHENNAI,TAMIL NADU,600054.0,IN,,False,,,null_currency; null_amount; 
1250,403-7109129-1137901,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3373,JNE3373-KR-XXXL,kurta,3XL,B082W7MZVQ,Cancelled,0,,,KOLKATA,WEST BENGAL,700017.0,IN,,False,,,null_currency; null_amount; 
1263,405-6912504-9586703,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET183,SET183-KR-DH-XXL,Set,XXL,B08B3Z5XM5,Cancelled,0,,,NEW DELHI,DELHI,110092.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,,null_currency; null_amount; 
1274,408-0047374-7401172,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET098,SET098-KR-PP-XL,Set,XL,B07X3N4X66,Cancelled,0,,,SOHNA,HARYANA,122102.0,IN,,False,,,null_currency; null_amount; 
1282,405-6354126-8186713,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0157,J0157-DR-S,Western Dress,S,B0982ZDZ8K,Cancelled,0,,,HYDERABAD,TELANGANA,500010.0,IN,,False,,,null_currency; null_amount; 
1283,171-6761782-3837126,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE2014,JNE2014-KR-178-XXXL,kurta,3XL,B07G2CSMX9,Cancelled,0,,,DARWHA,MAHARASHTRA,445202.0,IN,,False,,,null_currency; null_amount; 
1287,408-7115257-5917968,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3721,JNE3721-KR-XS,kurta,XS,B099FCBF34,Cancelled,0,,,BENGALURU,KARNATAKA,560037.0,IN,,False,,,null_currency; null_amount; 
1295,406-2208895-0303502,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET304,SET304-KR-DPT-XXL,Set,XXL,B09K3YHSDV,Cancelled,0,,,GANDHINAGAR,Gujarat,382007.0,IN,,False,,,null_currency; null_amount; 
1318,404-8315972-5793133,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET110,SET110-KR-PP-XS,Set,XS,B0822TFD7Y,Cancelled,0,,,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,201309.0,IN,,False,,,null_currency; null_amount; 
1358,404-4101613-8698765,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET197,SET197-KR-NP-L,Set,L,B08B3YPD63,Cancelled,0,,,HYDERABAD,TELANGANA,502319.0,IN,,False,,,null_currency; null_amount; 
1407,402-9646648-6741100,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET345,SET345-KR-NP-XL,Set,XL,B09KXWW582,Cancelled,0,,,MULAMTHURUTHY,KERALA,682314.0,IN,,False,,,null_currency; null_amount; 
1411,171-4796944-6041923,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0003,J0003-SET-M,Set,M,B0894XH3LN,Cancelled,0,,,Totu,HIMACHAL PRADESH,171011.0,IN,,False,,,null_currency; null_amount; 
1475,406-6779001-4088358,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET330,SET330-KR-PP-S,Set,S,B09SDXT7CF,Cancelled,0,,,NAMCHI,SIKKIM,737126.0,IN,,False,,,null_currency; null_amount; 
1504,402-9851200-0350750,04-29-22,Cancelled,Amazon,Amazon.in,Expedited,JNE2270,JNE2270-KR-487-A-M,kurta,M,B07H7FZD32,Cancelled,0,,,SECUNDERABAD,TELANGANA,500025.0,IN,,False,,,null_currency; null_amount; 
